year,month,date,sst_anom
1950,1,1950-01-15,-1.9900
1950,2,1950-02-15,-1.6900
1950,3,1950-03-15,-1.4200
1950,4,1950-04-15,-1.5400
1950,5,1950-05-15,-1.7500
1950,6,1950-06-15,-1.2700
1950,7,1950-07-15,-1.0100
1950,8,1950-08-15,-0.9700
1950,9,1950-09-15,-0.9800
1950,10,1950-10-15,-1.0300
1950,11,1950-11-15,-1.2300
1950,12,1950-12-15,-1.3100
1951,1,1951-01-15,-1.3000
1951,2,1951-02-15,-1.0400
1951,3,1951-03-15,-0.3800
1951,4,1951-04-15,-0.2300
1951,5,1951-05-15,-0.0100
1951,6,1951-06-15,0.0000
1951,7,1951-07-15,0.3000
1951,8,1951-08-15,0.1700
1951,9,1951-09-15,0.5100
1951,10,1951-10-15,0.4900
1951,11,1951-11-15,0.5500
1951,12,1951-12-15,0.3100
1952,1,1952-01-15,0.1300
1952,2,1952-02-15,-0.0100
1952,3,1952-03-15,-0.1100
1952,4,1952-04-15,-0.0200
1952,5,1952-05-15,-0.1400
1952,6,1952-06-15,-0.5400
1952,7,1952-07-15,-0.7600
1952,8,1952-08-15,-0.5600
1952,9,1952-09-15,-0.3600
1952,10,1952-10-15,-0.4600
1952,11,1952-11-15,-0.7800
1952,12,1952-12-15,-0.3900
1953,1,1953-01-15,0.2000
1953,2,1953-02-15,0.2400
1953,3,1953-03-15,0.2900
1953,4,1953-04-15,0.2200
1953,5,1953-05-15,0.3500
1953,6,1953-06-15,0.3900
1953,7,1953-07-15,0.1400
1953,8,1953-08-15,0.0900
1953,9,1953-09-15,0.2900
1953,10,1953-10-15,0.1600
1953,11,1953-11-15,0.1800
1953,12,1953-12-15,0.4100
1954,1,1954-01-15,0.4300
1954,2,1954-02-15,0.2800
1954,3,1954-03-15,-0.3800
1954,4,1954-04-15,-1.1700
1954,5,1954-05-15,-0.8100
1954,6,1954-06-15,-0.9300
1954,7,1954-07-15,-1.1800
1954,8,1954-08-15,-1.4300
1954,9,1954-09-15,-1.6000
1954,10,1954-10-15,-1.4800
1954,11,1954-11-15,-1.1300
1954,12,1954-12-15,-1.3300
1955,1,1955-01-15,-0.9300
1955,2,1955-02-15,-0.9500
1955,3,1955-03-15,-1.0600
1955,4,1955-04-15,-1.2200
1955,5,1955-05-15,-1.2800
1955,6,1955-06-15,-1.1800
1955,7,1955-07-15,-1.1500
1955,8,1955-08-15,-1.3500
1955,9,1955-09-15,-1.4300
1955,10,1955-10-15,-2.3100
1955,11,1955-11-15,-2.4500
1955,12,1955-12-15,-2.0300
1956,1,1956-01-15,-1.2000
1956,2,1956-02-15,-0.9900
1956,3,1956-03-15,-0.8300
1956,4,1956-04-15,-0.9700
1956,5,1956-05-15,-0.8000
1956,6,1956-06-15,-0.9200
1956,7,1956-07-15,-1.0600
1956,8,1956-08-15,-1.1700
1956,9,1956-09-15,-0.9800
1956,10,1956-10-15,-0.9700
1956,11,1956-11-15,-1.1400
1956,12,1956-12-15,-0.8900
1957,1,1957-01-15,-0.5100
1957,2,1957-02-15,-0.2200
1957,3,1957-03-15,0.1800
1957,4,1957-04-15,0.4100
1957,5,1957-05-15,0.6200
1957,6,1957-06-15,0.6300
1957,7,1957-07-15,0.8700
1957,8,1957-08-15,0.8400
1957,9,1957-09-15,0.7200
1957,10,1957-10-15,0.7000
1957,11,1957-11-15,0.9200
1957,12,1957-12-15,1.3000
1958,1,1958-01-15,1.7800
1958,2,1958-02-15,1.4900
1958,3,1958-03-15,0.9800
1958,4,1958-04-15,0.4600
1958,5,1958-05-15,0.3800
1958,6,1958-06-15,0.2600
1958,7,1958-07-15,0.0300
1958,8,1958-08-15,-0.0100
1958,9,1958-09-15,-0.3200
1958,10,1958-10-15,-0.2700
1958,11,1958-11-15,0.0500
1958,12,1958-12-15,0.0200
1959,1,1959-01-15,0.5300
1959,2,1959-02-15,0.4300
1959,3,1959-03-15,0.1900
1959,4,1959-04-15,0.0600
1959,5,1959-05-15,-0.2300
1959,6,1959-06-15,-0.3500
1959,7,1959-07-15,-0.8600
1959,8,1959-08-15,-0.7700
1959,9,1959-09-15,-0.8000
1959,10,1959-10-15,-0.4800
1959,11,1959-11-15,-0.6600
1959,12,1959-12-15,-0.4200
1960,1,1960-01-15,-0.2800
1960,2,1960-02-15,-0.4600
1960,3,1960-03-15,-0.3000
1960,4,1960-04-15,-0.3300
1960,5,1960-05-15,-0.2500
1960,6,1960-06-15,-0.4900
1960,7,1960-07-15,-0.4100
1960,8,1960-08-15,-0.1500
1960,9,1960-09-15,-0.2800
1960,10,1960-10-15,-0.4900
1960,11,1960-11-15,-0.4500
1960,12,1960-12-15,-0.3800
1961,1,1961-01-15,-0.3100
1961,2,1961-02-15,-0.1900
1961,3,1961-03-15,-0.3500
1961,4,1961-04-15,-0.4600
1961,5,1961-05-15,-0.1800
1961,6,1961-06-15,-0.0600
1961,7,1961-07-15,-0.4100
1961,8,1961-08-15,-0.6700
1961,9,1961-09-15,-0.9400
1961,10,1961-10-15,-1.0100
1961,11,1961-11-15,-0.6300
1961,12,1961-12-15,-0.6300
1962,1,1962-01-15,-0.5900
1962,2,1962-02-15,-0.5700
1962,3,1962-03-15,-0.4800
1962,4,1962-04-15,-0.6900
1962,5,1962-05-15,-0.8900
1962,6,1962-06-15,-0.6500
1962,7,1962-07-15,-0.5300
1962,8,1962-08-15,-0.5300
1962,9,1962-09-15,-0.7800
1962,10,1962-10-15,-0.7500
1962,11,1962-11-15,-0.9500
1962,12,1962-12-15,-0.9300
1963,1,1963-01-15,-0.7800
1963,2,1963-02-15,-0.5300
1963,3,1963-03-15,-0.1000
1963,4,1963-04-15,-0.0300
1963,5,1963-05-15,-0.3000
1963,6,1963-06-15,-0.1100
1963,7,1963-07-15,0.4900
1963,8,1963-08-15,0.6200
1963,9,1963-09-15,0.6800
1963,10,1963-10-15,0.6400
1963,11,1963-11-15,0.7700
1963,12,1963-12-15,1.0200
1964,1,1964-01-15,0.7900
1964,2,1964-02-15,0.3800
1964,3,1964-03-15,-0.2600
1964,4,1964-04-15,-0.8700
1964,5,1964-05-15,-1.1200
1964,6,1964-06-15,-1.1400
1964,7,1964-07-15,-0.9600
1964,8,1964-08-15,-1.2600
1964,9,1964-09-15,-1.4000
1964,10,1964-10-15,-1.3500
1964,11,1964-11-15,-1.4400
1964,12,1964-12-15,-1.3700
1965,1,1965-01-15,-0.8900
1965,2,1965-02-15,-0.5600
1965,3,1965-03-15,-0.3400
1965,4,1965-04-15,-0.4400
1965,5,1965-05-15,0.0600
1965,6,1965-06-15,0.3600
1965,7,1965-07-15,0.6100
1965,8,1965-08-15,1.1200
1965,9,1965-09-15,1.2900
1965,10,1965-10-15,1.4500
1965,11,1965-11-15,1.4200
1965,12,1965-12-15,1.3600
1966,1,1966-01-15,1.1200
1966,2,1966-02-15,0.8000
1966,3,1966-03-15,0.9300
1966,4,1966-04-15,0.3500
1966,5,1966-05-15,-0.3800
1966,6,1966-06-15,-0.0800
1966,7,1966-07-15,0.0400
1966,8,1966-08-15,-0.3700
1966,9,1966-09-15,-0.4400
1966,10,1966-10-15,-0.5000
1966,11,1966-11-15,-0.4700
1966,12,1966-12-15,-0.5700
1967,1,1967-01-15,-0.6700
1967,2,1967-02-15,-0.6400
1967,3,1967-03-15,-0.7800
1967,4,1967-04-15,-1.0800
1967,5,1967-05-15,-0.5900
1967,6,1967-06-15,-0.2600
1967,7,1967-07-15,-0.3300
1967,8,1967-08-15,-0.4200
1967,9,1967-09-15,-0.8600
1967,10,1967-10-15,-0.7400
1967,11,1967-11-15,-0.6200
1967,12,1967-12-15,-0.6500
1968,1,1968-01-15,-0.8500
1968,2,1968-02-15,-1.0700
1968,3,1968-03-15,-0.9500
1968,4,1968-04-15,-0.7200
1968,5,1968-05-15,-0.7500
1968,6,1968-06-15,0.1500
1968,7,1968-07-15,0.2800
1968,8,1968-08-15,0.1600
1968,9,1968-09-15,0.0100
1968,10,1968-10-15,0.0400
1968,11,1968-11-15,0.5000
1968,12,1968-12-15,0.6700
1969,1,1969-01-15,0.9500
1969,2,1969-02-15,1.1100
1969,3,1969-03-15,0.5400
1969,4,1969-04-15,0.3100
1969,5,1969-05-15,0.3500
1969,6,1969-06-15,-0.0400
1969,7,1969-07-15,-0.2100
1969,8,1969-08-15,0.1600
1969,9,1969-09-15,0.4300
1969,10,1969-10-15,0.6200
1969,11,1969-11-15,0.4000
1969,12,1969-12-15,0.3800
1970,1,1970-01-15,0.2800
1970,2,1970-02-15,0.2000
1970,3,1970-03-15,-0.1400
1970,4,1970-04-15,-0.0800
1970,5,1970-05-15,-0.3000
1970,6,1970-06-15,-0.6900
1970,7,1970-07-15,-1.0800
1970,8,1970-08-15,-1.2600
1970,9,1970-09-15,-1.0700
1970,10,1970-10-15,-1.1200
1970,11,1970-11-15,-1.1300
