"season","year","mid_month","sst_c","sst_anom"
"DJF",1950,1,24.72,-1.53
"JFM",1950,2,25.17,-1.34
"FMA",1950,3,25.75,-1.16
"MAM",1950,4,26.12,-1.18
"AMJ",1950,5,26.32,-1.07
"MJJ",1950,6,26.31,-0.85
"JJA",1950,7,26.21,-0.54
"JAS",1950,8,25.96,-0.42
"ASO",1950,9,25.76,-0.39
"SON",1950,10,25.63,-0.44
"OND",1950,11,25.48,-0.6
"NDJ",1950,12,25.34,-0.8
"DJF",1951,1,25.42,-0.82
"JFM",1951,2,25.96,-0.54
"FMA",1951,3,26.74,-0.17
"MAM",1951,4,27.48,0.18
"AMJ",1951,5,27.75,0.36
"MJJ",1951,6,27.75,0.58
"JJA",1951,7,27.44,0.7
"JAS",1951,8,27.28,0.89
"ASO",1951,9,27.14,0.99
"SON",1951,10,27.22,1.15
"OND",1951,11,27.12,1.04
"NDJ",1951,12,26.95,0.81
"DJF",1952,1,26.78,0.53
"JFM",1952,2,26.87,0.37
"FMA",1952,3,27.25,0.34
"MAM",1952,4,27.6,0.29
"AMJ",1952,5,27.59,0.2
"MJJ",1952,6,27.17,0
"JJA",1952,7,26.67,-0.08
"JAS",1952,8,26.39,0
"ASO",1952,9,26.3,0.15
"SON",1952,10,26.17,0.1
"OND",1952,11,26.13,0.04
"NDJ",1952,12,26.29,0.15
"DJF",1953,1,26.65,0.4
"JFM",1953,2,27.1,0.6
"FMA",1953,3,27.53,0.63
"MAM",1953,4,27.96,0.66
"AMJ",1953,5,28.14,0.75
"MJJ",1953,6,27.94,0.77
"JJA",1953,7,27.49,0.75
"JAS",1953,8,27.12,0.73
"ASO",1953,9,26.93,0.78
"SON",1953,10,26.91,0.84
"OND",1953,11,26.92,0.84
"NDJ",1953,12,26.95,0.81
"DJF",1954,1,27,0.76
"JFM",1954,2,26.97,0.47
"FMA",1954,3,26.86,-0.05
"MAM",1954,4,26.89,-0.41
"AMJ",1954,5,26.85,-0.54
"MJJ",1954,6,26.67,-0.5
"JJA",1954,7,26.1,-0.64
"JAS",1954,8,25.54,-0.84
"ASO",1954,9,25.25,-0.9
"SON",1954,10,25.3,-0.77
"OND",1954,11,25.35,-0.73
"NDJ",1954,12,25.48,-0.66
"DJF",1955,1,25.57,-0.68
"JFM",1955,2,25.89,-0.62
"FMA",1955,3,26.22,-0.69
"MAM",1955,4,26.5,-0.8
"AMJ",1955,5,26.6,-0.79
"MJJ",1955,6,26.45,-0.72
"JJA",1955,7,26.06,-0.68
"JAS",1955,8,25.64,-0.75
"ASO",1955,9,25.06,-1.09
"SON",1955,10,24.65,-1.42
"OND",1955,11,24.41,-1.67
"NDJ",1955,12,24.72,-1.47
"DJF",1956,1,25.23,-1.11
"JFM",1956,2,25.86,-0.76
"FMA",1956,3,26.37,-0.63
"MAM",1956,4,26.82,-0.54
"AMJ",1956,5,26.93,-0.52
"MJJ",1956,6,26.72,-0.51
"JJA",1956,7,26.23,-0.57
"JAS",1956,8,25.87,-0.55
"ASO",1956,9,25.71,-0.46
"SON",1956,10,25.67,-0.42
"OND",1956,11,25.67,-0.43
"NDJ",1956,12,25.77,-0.43
"DJF",1957,1,26.09,-0.25
"JFM",1957,2,26.68,0.06
"FMA",1957,3,27.41,0.41
"MAM",1957,4,28.08,0.72
"AMJ",1957,5,28.37,0.92
"MJJ",1957,6,28.34,1.11
"JJA",1957,7,28.06,1.25
"JAS",1957,8,27.75,1.32
"ASO",1957,9,27.5,1.33
"SON",1957,10,27.48,1.39
"OND",1957,11,27.64,1.53
"NDJ",1957,12,27.94,1.74
"DJF",1958,1,28.15,1.81
"JFM",1958,2,28.27,1.66
"FMA",1958,3,28.26,1.27
"MAM",1958,4,28.28,0.93
"AMJ",1958,5,28.19,0.74
"MJJ",1958,6,27.87,0.64
"JJA",1958,7,27.38,0.57
"JAS",1958,8,26.85,0.43
"ASO",1958,9,26.56,0.39
"SON",1958,10,26.53,0.44
"OND",1958,11,26.6,0.5
"NDJ",1958,12,26.81,0.61
"DJF",1959,1,26.95,0.61
"JFM",1959,2,27.24,0.62
"FMA",1959,3,27.51,0.52
"MAM",1959,4,27.68,0.33
"AMJ",1959,5,27.65,0.2
"MJJ",1959,6,27.16,-0.07
"JJA",1959,7,26.63,-0.18
"JAS",1959,8,26.15,-0.28
"ASO",1959,9,26.08,-0.09
"SON",1959,10,26.07,-0.03
"OND",1959,11,26.15,0.05
"NDJ",1959,12,26.16,-0.04
"DJF",1960,1,26.24,-0.1
"JFM",1960,2,26.51,-0.1
"FMA",1960,3,26.92,-0.07
"MAM",1960,4,27.39,0.03
"AMJ",1960,5,27.47,0.02
"MJJ",1960,6,27.26,0.03
"JJA",1960,7,26.93,0.13
"JAS",1960,8,26.66,0.24
"ASO",1960,9,26.44,0.27
"SON",1960,10,26.3,0.2
"OND",1960,11,26.23,0.12
"NDJ",1960,12,26.23,0.05
"DJF",1961,1,26.34,0.04
"JFM",1961,2,26.58,0.03
"FMA",1961,3,26.96,0.04
"MAM",1961,4,27.35,0.09
"AMJ",1961,5,27.59,0.23
"MJJ",1961,6,27.42,0.27
"JJA",1961,7,26.9,0.14
"JAS",1961,8,26.27,-0.13
"ASO",1961,9,25.89,-0.3
"SON",1961,10,25.85,-0.26
"OND",1961,11,25.91,-0.19
"NDJ",1961,12,26,-0.16
"DJF",1962,1,26.05,-0.24
"JFM",1962,2,26.32,-0.22
"FMA",1962,3,26.71,-0.2
"MAM",1962,4,27,-0.26
"AMJ",1962,5,27.09,-0.28
"MJJ",1962,6,26.96,-0.2
"JJA",1962,7,26.72,-0.04
"JAS",1962,8,26.34,-0.07
"ASO",1962,9,26.07,-0.11
"SON",1962,10,25.88,-0.22
"OND",1962,11,25.79,-0.31
"NDJ",1962,12,25.73,-0.43
"DJF",1963,1,25.89,-0.4
"JFM",1963,2,26.39,-0.15
"FMA",1963,3,27.07,0.15
"MAM",1963,4,27.53,0.27
"AMJ",1963,5,27.68,0.31
"MJJ",1963,6,27.67,0.52
"JJA",1963,7,27.62,0.86
"JAS",1963,8,27.54,1.14
"ASO",1963,9,27.4,1.22
"SON",1963,10,27.4,1.29
"OND",1963,11,27.47,1.37
"NDJ",1963,12,27.47,1.31
"DJF",1964,1,27.36,1.07
"JFM",1964,2,27.16,0.62
"FMA",1964,3,27.03,0.12
"MAM",1964,4,26.93,-0.33
"AMJ",1964,5,26.78,-0.58
"MJJ",1964,6,26.57,-0.58
"JJA",1964,7,26.16,-0.6
"JAS",1964,8,25.74,-0.66
"ASO",1964,9,25.42,-0.76
"SON",1964,10,25.31,-0.8
"OND",1964,11,25.28,-0.82
"NDJ",1964,12,25.38,-0.78
"DJF",1965,1,25.69,-0.59
"JFM",1965,2,26.27,-0.28
"FMA",1965,3,26.85,-0.07
"MAM",1965,4,27.44,0.18
"AMJ",1965,5,27.82,0.46
"MJJ",1965,6,27.99,0.83
"JJA",1965,7,27.98,1.22
"JAS",1965,8,27.95,1.54
"ASO",1965,9,28.04,1.85
"SON",1965,10,28.09,1.98
"OND",1965,11,28.07,1.97
"NDJ",1965,12,27.91,1.72
"DJF",1966,1,27.72,1.37
"JFM",1966,2,27.81,1.17
"FMA",1966,3,27.98,0.98
"MAM",1966,4,27.97,0.66
"AMJ",1966,5,27.78,0.35
"MJJ",1966,6,27.5,0.24
"JJA",1966,7,27.14,0.24
"JAS",1966,8,26.69,0.12
"ASO",1966,9,26.32,-0.05
"SON",1966,10,26.24,-0.1
"OND",1966,11,26.16,-0.18
"NDJ",1966,12,26.04,-0.3
"DJF",1967,1,26.01,-0.41
"JFM",1967,2,26.17,-0.48
"FMA",1967,3,26.46,-0.53
"MAM",1967,4,26.87,-0.45
"AMJ",1967,5,27.19,-0.24
"MJJ",1967,6,27.26,0
"JJA",1967,7,26.95,0.05
"JAS",1967,8,26.41,-0.16
"ASO",1967,9,26.08,-0.3
"SON",1967,10,25.96,-0.38
"OND",1967,11,26,-0.34
"NDJ",1967,12,25.9,-0.44
"DJF",1968,1,25.78,-0.64
"JFM",1968,2,25.91,-0.74
"FMA",1968,3,26.38,-0.62
"MAM",1968,4,26.88,-0.44
"AMJ",1968,5,27.39,-0.04
"MJJ",1968,6,27.54,0.28
"JJA",1968,7,27.48,0.58
